company_logo,company_name,company_phones_list,company_address,company_description
https://lesstroy.net/user/33959/90x90_logo.png?time=1554675659,ЭКО ДОМ МНЕ,"+7 (495) 946 75 37, +7 (915) 906 88 72, +7 (903) 898 06 54","Костромская область, с. Парфеньево, ул. Песочная, 39","Компания «Эко Дом Мне» основана в 2008 году - Лидирующий производитель домов из бруса и бревна в Костромской области и центральном регионе России. Уже более 14 лет мы представляем опытную команду, которая обеспечивает самые оптимальные..."
https://lesstroy.net/user/15146/90x90_logo-less.png?time=1543743125,ЭкоДом-Кострома,"+7 (800) 100 55 62, +7 (906) 666 55 62",Костромская область город Чухлома,"Компания «Экодом-Кострома» специализируется на возведении домов, бань и подсобных помещений из дерева. Нами используются такие материалы, как брус. Все лесоматериалы изготавливаются в Костромской области на собственном..."
https://lesstroy.net/user/16540/90x90_Screenshot.png?time=1617189320,СУДАЙ СРУБ,+7 (915) 915 17 71,"с. Судай, Костромская область.","Мы - строительная компания из Костромы  «СУДАЙ СРУБ». Более 10 лет  работаем в сфере строительства домов и бань из бруса. Имеем собственное производство пиломатериалов, квалифицированный штат рабочих.Выполняем..."
https://lesstroy.net/user/36218/90x90_logo.png?time=1580561493,РУСЬ-ДОМ44,"+7 (953) 652 02 02, +7 (494) 402 65 72","115419, Москва, ул. Шаболовка, 34, стр. 5 А","Русь Дом 44 работает с 2012 года. Мы строим дома, бани, хозяйственные постройки из бревна и бруса. Работаем своим костромским материалом. Все бригады у нас из костромской области. Главное в нашей работе - качество и соблюдение договоренностей...."
https://lesstroy.net/user/17581/90x90_Banner_Oblojka_2_2 (1).jpg?time=1592826497,ТопсХаус,+7 (495) 212 10 69,"Московская обл, г. Котельники, Дзержинское шоссе, вл. 7/7 (500м от МКАД, рядом с магазином ИКЕА Белая дача).","Компания ТопсХаус - это собственное производство полного цикла с 2009 года.
Уже более 13 лет мы строим уютные коттеджи, домики и практичные хозблоки из мини-бруса, клееного бруса и по энергоэффективной финской технологии Двойной брус для..."
https://lesstroy.net/user/9870/90x90_1404372606.jpg?time=1541106424,ТеремЪ,+7 (495) 461 00 99,"Г. Москва, Ореховый бульвар, дом 26 Б",Компания “Теремъ” с 2010 года на рынке загородного коттеджного и малоэтажного строительства проектирует и возводит строения из каркаса и клеёного бруса. Среди них дома для сезонного и постоянного проживания самых разных форм и размеров....
https://lesstroy.net/user/16413/90x90_bb9825598844d897d46e68a0aad41cfd.png?time=1541106523,Лукоморье,+7 (495) 088 41 25,"Московская область, г.о. Серпухов,  д. Борисово, д. 111, Выставочная площадка ТЦ ""Браво-Центр""","Строительная компания «Лукоморье» специализируется на проектировании, строительстве и отделке деревянных домов из северных пород древесины. Мы строим как бюджетные, так и элитные деревянные дома из сосны, кедра и лиственницы в..."
https://lesstroy.net/user/37225/90x90_логотип до 100 кб.jpg?time=1592386796,Дом Чередом,+7 (960) 739 53 65,"Костромская обл, г Чухлома","Здравствуйте! Мы очень рады видеть Вас на странице Дом Чередом сайта Лесстрой. Здесь Вы можете подобрать проект, ознакомиться с ценами, оценить уже построенные нами дома, посмотреть отзывы. Мы обладаем умениями, навыками в области строительства и знаем..."
https://lesstroy.net/user/16337/90x90_267e8d0835658ec4d4f7026166b81e27.png?time=1541106521,ООО БрусКом,"+7 (495) 902 69 43, +7 (925) 820 12 03","Московская область, г. Электросталь, ул. Николаева, д. 35, оф 1","Вот уже более 15-ти лет строительная компания ООО «БрусКом» занимается строительством деревянных домов используя огромный опыт с лучшими традициями деревянного домостроения, а так же с применением самых современных технологий. Наши..."
https://lesstroy.net/user/13496/90x90_dee892e414197a19cf6f253ce71ce048.png?time=1541106484,ПСК Сруб-Проект,"+7 (911) 501 51 37, +7 (900) 502 50 00, +8 (800) 300 82 35","г. Вологда, ул. Гагарина 145","Компания «Сруб-Проект» - это команда профессионалов увлеченных строительным делом. Более 10 лет мы занимаемся изготовлением, продажей, сборкой домов и бань из оцилиндрованного и рубленого бревна.   Наличие собственных лесных делянок на севере Вологодской..."
